54.36.149.41 - - [22/Jan/2019:03:56:14 +0330] "GET /filter/27|13%20%D9%85%DA%AF%D8%A7%D9%BE%DB%8C%DA%A9%D8%B3%D9%84,27|%DA%A9%D9%85%D8%AA%D8%B1%20%D8%A7%D8%B2%205%20%D9%85%DA%AF%D8%A7%D9%BE%DB%8C%DA%A9%D8%B3%D9%84,p53 HTTP/1.1" 200 30577 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" "-"
54.36.148.29 - - [22/Jan/2019:04:32:01 +0330] "GET /filter/p5666%2Crf5000000%2Crt10000000%2Cstexists%2Cv1%7C%D9%85%D8%B4%DA%A9%DB%8C%20%D9%86%D9%82%D8%B1%D9%87%20%D8%A7%DB%8C%2Cv1%7C%D9%86%D9%82%D8%B1%D9%87%20%D8%A7%DB%8C%20%D9%85%D8%B4%DA%A9%DB%8C?o=v1 HTTP/1.1" 302 0 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" "-"
66.249.66.194 - - [22/Jan/2019:04:32:01 +0330] "GET /m/filter/b1,b103,b118,b126,b135,b151,b168,b183,b185,b19,b192,b194,b213,b215,b218,b219,b224,b231,b238,b261,b3,b321,b36,b41,b435,b441,b442,b484,b497,b5,b50,b542,b543,b568,b573,b598,b614,b619,b63,b647,b703,b723,b724,b74,b82,b878,b88,b880,b95,b99 HTTP/1.1" 200 26734 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "-"
40.77.167.170 - - [22/Jan/2019:04:32:02 +0330] "GET /image/28801?name=ss-3100tw_113.jpg&wh=50x50 HTTP/1.1" 200 1310 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "-"
207.46.13.136 - - [22/Jan/2019:04:32:02 +0330] "GET /filter?f=p1%2Cb2%2Ct110 HTTP/1.1" 200 32691 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "-"
66.249.66.194 - - [22/Jan/2019:04:32:02 +0330] "GET /product/5158 HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "-"
66.249.66.194 - - [22/Jan/2019:04:32:03 +0330] "GET /m/product/28238/%D9%87%D9%88%D8%AF-%D8%B4%D9%88%D9%85%DB%8C%D9%86%D9%87-%D8%A7%DB%8C-%D8%A8%DB%8C%D9%85%DA%A9%D8%AB-%D9%85%D8%AF%D9%84-Bimax-Kitchen-Hood-B2040U HTTP/1.1" 200 21369 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "-"
66.249.66.194 - - [22/Jan/2019:04:32:03 +0330] "GET /m/product/5158 HTTP/1.1" 404 33612 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "-"
192.15.247.191 - - [22/Jan/2019:04:32:03 +0330] "GET /image/60723/productModel/200x200 HTTP/1.1" 200 4544 "https://www.zanbil.ir/m/filter/p9%2Ct453?name=%D8%A2%D8%A8%D9%85%DB%8C%D9%88%D9%87-%DA%AF%DB%8C%D8%B1%DB%8C&productType=juicer" "Mozilla/5.0 (Linux; Android 6.0.1; CLIO L2 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.89 Mobile Safari/537.36" "-"
207.46.13.136 - - [22/Jan/2019:04:32:05 +0330] "GET /filter/b1,b103,b105,b109,b111,b113,b135,b144,b176,b186,b221,b261,b291,b441,b52,b598,b614,b647,b656,b77,b83,p38 HTTP/1.1" 200 36788 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "-"
66.249.66.91 - - [22/Jan/2019:04:32:06 +0330] "GET /filter/b656%2Cb703%2Cb32%2Cb67%2Cb226%2Cb41%2Cb598%2Cb168%2Cb723%2Cb597%2Cb88%2Cb548%2Cb6%2Cb679%2Cb215%2Cb105%2Cb194%2Cb74%2Cb542%2Cb35%2Cb113%2Cb820%2Cb574%2Cb442%2Cb880%2Cb645%2Cb724%2Cb118%2Cb482%2Cb400%2Cb95%2Cb135%2Cb249%2Cb435%2Cb221%2Cb523%2Cb854%2Cb126%2Cstexists%2Cb216%2Cb217%2Cb152%2Cb99%2Cb188%2Cb209%2Cb192%2Cb213%2Cb136%2Cb218%2Cb4%2Cb546%2Cb603%2Cb147%2Cb615%2Cb878%2Cb63?page=55 HTTP/1.1" 200 41521 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "-"
164.215.218.89 - - [22/Jan/2019:04:32:06 +0330] "GET /image/28731?name=rt6002.jpg&wh=200x200 HTTP/1.1" 200 3287 "-" "Dalvik/1.6.0 (Linux; U; Android 4.4.2; HTC Desire 820G PLUS dual sim Build/KOT49H)" "-"
51.15.15.54 - - [22/Jan/2019:04:32:08 +0330] "GET /blog/medicine-and-health/massager/eye-massager/ HTTP/1.1" 200 19928 "-" "Barkrowler/0.9 (+http://www.exensa.com/crawl)" "-"
207.46.13.136 - - [22/Jan/2019:04:32:09 +0330] "GET /filter/b1,b103,b105,b109,b111,b113,b135,b144,b176,b186,b198,b221,b261,b291,b481,b52,b597,b598,b615,b724,b77,b83 HTTP/1.1" 200 38915 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "-"
46.225.135.218 - - [22/Jan/2019:04:32:10 +0330] "GET /product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29 HTTP/1.1" 200 42398 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:10 +0330] "GET /robots.txt HTTP/1.1" 200 94 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:10 +0330] "GET /static/js/date-conversion.min.js HTTP/1.1" 200 608 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:10 +0330] "GET /static/js/highcharts.min.js HTTP/1.1" 200 70590 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:10 +0330] "GET /static/bundle-bundle_site_head.css HTTP/1.1" 200 55531 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:10 +0330] "GET /product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29 HTTP/1.1" 200 42398 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:10 +0330] "GET /image/%7B%7BbasketItem.id%7D%7D?type=productModel&wh=50x50 HTTP/1.1" 200 5 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
5.215.2.31 - - [22/Jan/2019:04:32:11 +0330] "GET /m/article/626/%D8%AF%D8%B1%D8%AF%DB%8C-%DA%A9%D9%87-%D8%A7%D8%B2-%DA%AF%D8%B1%D8%AF%D9%86-%D8%A8%D9%87-%DA%A9%D8%AA%D9%81-%D9%88-%D8%B4%D8%A7%D9%86%D9%87-%D9%88-%D8%AA%D8%A7-%D8%B3%D8%B1-%D8%A7%D9%86%DA%AF%D8%B4%D8%AA%D8%A7%D9%86-%DA%A9%D8%B4%DB%8C%D8%AF%D9%87-%D9%85%DB%8C-%D8%B4%D9%88%D8%AF HTTP/1.1" 200 18481 "-" "Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-J530F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/5.2 Chrome/51.0.2704.106 Mobile Safari/537.36" "-"
5.215.2.31 - - [22/Jan/2019:04:32:11 +0330] "GET /static/css/font/wyekan/font.woff HTTP/1.1" 200 28536 "https://www.zanbil.ir/m/article/626/%D8%AF%D8%B1%D8%AF%DB%8C-%DA%A9%D9%87-%D8%A7%D8%B2-%DA%AF%D8%B1%D8%AF%D9%86-%D8%A8%D9%87-%DA%A9%D8%AA%D9%81-%D9%88-%D8%B4%D8%A7%D9%86%D9%87-%D9%88-%D8%AA%D8%A7-%D8%B3%D8%B1-%D8%A7%D9%86%DA%AF%D8%B4%D8%AA%D8%A7%D9%86-%DA%A9%D8%B4%DB%8C%D8%AF%D9%87-%D9%85%DB%8C-%D8%B4%D9%88%D8%AF" "Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-J530F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/5.2 Chrome/51.0.2704.106 Mobile Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:11 +0330] "GET /static/images/search-category-arrow.png HTTP/1.1" 200 217 "https://znbl.ir/static/bundle-bundle_site_head.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:11 +0330] "GET /static/images/icons/btn-search.png HTTP/1.1" 200 393 "https://znbl.ir/static/bundle-bundle_site_head.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:11 +0330] "GET /settings/logo HTTP/1.1" 200 4120 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:11 +0330] "GET /image/13977/product/50x50 HTTP/1.1" 200 1182 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:11 +0330] "GET /image/113/brand HTTP/1.1" 200 2287 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:11 +0330] "GET /plugins/ckeditor-3.6.2.2/js/ckeditor/ckeditor.js HTTP/1.1" 302 0 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:11 +0330] "GET /static/images/coming-soon.png HTTP/1.1" 200 2356 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:11 +0330] "GET /static/images/zanbil/Information-Icon.png HTTP/1.1" 200 1429 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:11 +0330] "GET /image/13977?name=p88.jpg&wh=300x300 HTTP/1.1" 200 8375 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:11 +0330] "GET /static/css/font/wyekan/font.woff HTTP/1.1" 200 28536 "https://znbl.ir/static/bundle-bundle_site_head.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:11 +0330] "GET /image/13977?name=p8.jpg&wh=300x300 HTTP/1.1" 200 6139 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:12 +0330] "GET /image/13977?name=p88.jpg&wh=max HTTP/1.1" 200 33522 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:12 +0330] "GET /image/13977?name=p8.jpg&wh=max HTTP/1.1" 200 28560 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:12 +0330] "GET /static/images/amp/instagram.png HTTP/1.1" 200 7146 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:12 +0330] "GET /static/images/third-party/footer.png HTTP/1.1" 200 56076 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:12 +0330] "GET /static/images/guarantees/fastDelivery.png HTTP/1.1" 200 7713 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:12 +0330] "GET /static/images/guarantees/goodShopping.png HTTP/1.1" 200 6496 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:12 +0330] "GET /static/css/font_awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77171 "https://znbl.ir/static/bundle-bundle_site_head.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:12 +0330] "GET /static/images/guarantees/warranty.png HTTP/1.1" 200 5807 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
5.215.2.31 - - [22/Jan/2019:04:32:12 +0330] "GET /static/images/guarantees/goodShopping.png HTTP/1.1" 200 6496 "https://www.zanbil.ir/m/article/626/%D8%AF%D8%B1%D8%AF%DB%8C-%DA%A9%D9%87-%D8%A7%D8%B2-%DA%AF%D8%B1%D8%AF%D9%86-%D8%A8%D9%87-%DA%A9%D8%AA%D9%81-%D9%88-%D8%B4%D8%A7%D9%86%D9%87-%D9%88-%D8%AA%D8%A7-%D8%B3%D8%B1-%D8%A7%D9%86%DA%AF%D8%B4%D8%AA%D8%A7%D9%86-%DA%A9%D8%B4%DB%8C%D8%AF%D9%87-%D9%85%DB%8C-%D8%B4%D9%88%D8%AF" "Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-J530F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/5.2 Chrome/51.0.2704.106 Mobile Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:12 +0330] "GET /static/images/guarantees/support.png HTTP/1.1" 200 6454 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:12 +0330] "GET /static/images/guarantees/bestPrice.png HTTP/1.1" 200 7356 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
5.215.2.31 - - [22/Jan/2019:04:32:12 +0330] "GET /static/images/guarantees/warranty.png HTTP/1.1" 200 5807 "https://www.zanbil.ir/m/article/626/%D8%AF%D8%B1%D8%AF%DB%8C-%DA%A9%D9%87-%D8%A7%D8%B2-%DA%AF%D8%B1%D8%AF%D9%86-%D8%A8%D9%87-%DA%A9%D8%AA%D9%81-%D9%88-%D8%B4%D8%A7%D9%86%D9%87-%D9%88-%D8%AA%D8%A7-%D8%B3%D8%B1-%D8%A7%D9%86%DA%AF%D8%B4%D8%AA%D8%A7%D9%86-%DA%A9%D8%B4%DB%8C%D8%AF%D9%87-%D9%85%DB%8C-%D8%B4%D9%88%D8%AF" "Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-J530F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/5.2 Chrome/51.0.2704.106 Mobile Safari/537.36" "-"
5.215.2.31 - - [22/Jan/2019:04:32:12 +0330] "GET /static/images/guarantees/bestPrice.png HTTP/1.1" 200 7356 "https://www.zanbil.ir/m/article/626/%D8%AF%D8%B1%D8%AF%DB%8C-%DA%A9%D9%87-%D8%A7%D8%B2-%DA%AF%D8%B1%D8%AF%D9%86-%D8%A8%D9%87-%DA%A9%D8%AA%D9%81-%D9%88-%D8%B4%D8%A7%D9%86%D9%87-%D9%88-%D8%AA%D8%A7-%D8%B3%D8%B1-%D8%A7%D9%86%DA%AF%D8%B4%D8%AA%D8%A7%D9%86-%DA%A9%D8%B4%DB%8C%D8%AF%D9%87-%D9%85%DB%8C-%D8%B4%D9%88%D8%AF" "Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-J530F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/5.2 Chrome/51.0.2704.106 Mobile Safari/537.36" "-"
5.215.2.31 - - [22/Jan/2019:04:32:12 +0330] "GET /static/images/guarantees/support.png HTTP/1.1" 200 6454 "https://www.zanbil.ir/m/article/626/%D8%AF%D8%B1%D8%AF%DB%8C-%DA%A9%D9%87-%D8%A7%D8%B2-%DA%AF%D8%B1%D8%AF%D9%86-%D8%A8%D9%87-%DA%A9%D8%AA%D9%81-%D9%88-%D8%B4%D8%A7%D9%86%D9%87-%D9%88-%D8%AA%D8%A7-%D8%B3%D8%B1-%D8%A7%D9%86%DA%AF%D8%B4%D8%AA%D8%A7%D9%86-%DA%A9%D8%B4%DB%8C%D8%AF%D9%87-%D9%85%DB%8C-%D8%B4%D9%88%D8%AF" "Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-J530F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/5.2 Chrome/51.0.2704.106 Mobile Safari/537.36" "-"
5.215.2.31 - - [22/Jan/2019:04:32:12 +0330] "GET /static/images/guarantees/fastDelivery.png HTTP/1.1" 200 7713 "https://www.zanbil.ir/m/article/626/%D8%AF%D8%B1%D8%AF%DB%8C-%DA%A9%D9%87-%D8%A7%D8%B2-%DA%AF%D8%B1%D8%AF%D9%86-%D8%A8%D9%87-%DA%A9%D8%AA%D9%81-%D9%88-%D8%B4%D8%A7%D9%86%D9%87-%D9%88-%D8%AA%D8%A7-%D8%B3%D8%B1-%D8%A7%D9%86%DA%AF%D8%B4%D8%AA%D8%A7%D9%86-%DA%A9%D8%B4%DB%8C%D8%AF%D9%87-%D9%85%DB%8C-%D8%B4%D9%88%D8%AF" "Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-J530F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/5.2 Chrome/51.0.2704.106 Mobile Safari/537.36" "-"
46.225.135.218 - - [22/Jan/2019:04:32:12 +0330] "GET /static/images/guarantees/pos.png HTTP/1.1" 200 6465 "https://www.zanbil.ir/product/13977/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D9%87%D9%88%D8%A7%D9%88%DB%8C-%D9%85%D8%AF%D9%84-P8-Lite-Dual-16GB-%28ALE-L21%29" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" "-"
